rank,city,distance,distance_in_km,cardinal_direction,median_prices
930,Nathalia,196.9km,196.9,North,231000.00
931,Oxley,197.9km,197.9,North-east,384600.00
932,Willaura,198km,198,West,123200.00
933,Waaia,198.7km,198.7,North,326600.00
934,Barmah,200km,200,North,138300.00
935,Great Western,200.3km,200.3,West,316500.00
936,Tungamah,200.9km,200.9,North-east,171100.00
937,St Arnaud,201.7km,201.7,North-west,165000.00
938,Wangaratta,202.6km,202.6,North-east,347100.00
939,Peterborough,202.8km,202.8,West,411200.00
940,Katamatite,203.7km,203.7,North,125000.00
941,Seaspray,205km,205,East,252400.00
942,Whorouly,205km,205,North-east,310800.00
943,Katunga,206.9km,206.9,North,322300.00
944,Myrtleford,209.5km,209.5,North-east,280200.00
945,Ovens,209.8km,209.8,North-east,246300.00
946,Pyramid Hill,209.9km,209.9,North,108300.00
947,Stawell,210.7km,210.7,West,212000.00
948,Mount Hotham,212.5km,212.5,East,335000.00
949,Porepunkah,212.5km,212.5,North-east,504400.00
950,Wandiligong,213.1km,213.1,North-east,400500.00
951,Gunbower,213.5km,213.5,North,177200.00
952,Glenthompson,213.7km,213.7,West,128300.00
953,Bright,214.2km,214.2,North-east,528900.00
954,Strathmerton,215.2km,215.2,North,201700.00
955,Caramut,215.3km,215.3,West,
956,Allansford,217.3km,217.3,West,289000.00
957,Eldorado,217.3km,217.3,North-east,282000.00
958,Golden Beach,218.3km,218.3,East,200400.00
959,Boort,218.6km,218.6,North-west,171200.00
960,Pomonal,219.1km,219.1,West,379000.00
961,Paradise Beach,219.4km,219.4,East,230100.00
962,Lindenow,219.5km,219.5,East,326600.00
963,Dinner Plain,219.6km,219.6,East,456600.00
964,Cobram,219.9km,219.9,North,280800.00
965,Yarrawonga,220.3km,220.3,North-east,374100.00
966,Leitchville,220.6km,220.6,North,120000.00
967,Merrijig,221.4km,221.4,East,551500.00
968,Bushfield,221.5km,221.5,West,530700.00
969,Beechworth,222.8km,222.8,North-east,440600.00
970,Charlton,223.8km,223.8,North-west,182000.00
971,Marnoo,225km,225,North-west,
972,Bundalong,225.4km,225.4,North-east,342700.00
973,Warrnambool,226.3km,226.3,West,361000.00
974,Glenorchy,227.8km,227.8,West,
975,Halls Gap,228.5km,228.5,West,328000.00
976,Mount Beauty,229.3km,229.3,East,290300.00
977,Tawonga South,229.3km,229.3,East,362300.00
978,Tawonga,230.2km,230.2,North-east,449000.00
979,Loch Sport,230.3km,230.3,East,230900.00
980,Falls Creek,230.9km,230.9,East,
981,Cobungra,231.5km,231.5,East,
982,Dunkeld,231.5km,231.5,West,215600.00
983,Cohuna,232.7km,232.7,North,214200.00
984,Koroit,233.7km,233.7,West,367700.00
985,Hawkesdale,234.1km,234.1,West,
986,Bairnsdale,234.4km,234.4,East,302000.00
987,Eastwood,234.6km,234.6,East,424200.00
988,Wy Yung,234.7km,234.7,East,389600.00
989,Penshurst,235km,235,West,144100.00
990,East Bairnsdale,235.9km,235.9,East,214100.00
991,Chiltern,236km,236,North-east,280300.00
992,Yackandandah,236.1km,236.1,North-east,546700.00
993,Rutherglen,236.9km,236.9,North-east,334000.00
994,Wahgunyah,237.6km,237.6,North-east,319800.00
995,Donald,238.2km,238.2,North-west,174300.00
996,Killarney,239.6km,239.6,West,
997,Eagle Point,240.3km,240.3,East,296800.00
998,Newlands Arm,240.6km,240.6,East,323500.00
999,Paynesville,242.6km,242.6,East,368300.00
1000,Raymond Island,243.3km,243.3,East,301200.00
1001,Barnawartha,243.6km,243.6,North-east,300300.00
1002,Nicholson,244km,244,East,313000.00
1003,Rosebrook,244.6km,244.6,West,
1004,Rupanyup,245.1km,245.1,North-west,80600.00
1005,Omeo,245.7km,245.7,East,241100.00
1006,Port Fairy,247.2km,247.2,West,641900.00
1007,Wycheproof,247.6km,247.6,North-west,148400.00
1008,Regent,248km,248,West,
1009,Kerang,249.5km,249.5,North-west,176700.00
1010,Swifts Creek,250.7km,250.7,East,163300.00
1011,Tarrington,252.1km,252.1,West,295600.00
1012,Eskdale,252.6km,252.6,North-east,283600.00
1013,West Wodonga,252.6km,252.6,North-east,340400.00
1014,Baranduda,252.8km,252.8,North-east,441900.00
1015,Bruthen,252.8km,252.8,East,290300.00
1016,Koondrook,252.8km,252.8,North,254600.00
1017,Tangambalanga,252.8km,252.8,North-east,293800.00
1018,Metung,253.9km,253.9,East,370800.00
1019,Quambatook,253.9km,253.9,North-west,117300.00
1020,Wodonga,254.2km,254.2,North-east,349500.00
1021,Swan Reach,254.5km,254.5,East,421100.00
1022,Huon,257.7km,257.7,North-east,
1023,Murtoa,257.9km,257.9,West,89000.00
1024,Ensay,258.1km,258.1,East,136600.00
1025,Hamilton,259.1km,259.1,West,233100.00
1026,Minyip,259.2km,259.2,North-west,95600.00
1027,Benambra,260.5km,260.5,East,
1028,Macarthur,261.3km,261.3,West,121600.00
1029,Kalimna,263.7km,263.7,East,325400.00
1030,Tallangatta,264.5km,264.5,North-east,255700.00
1031,Lakes Entrance,265.5km,265.5,East,348400.00
1032,Bessiebelle,265.6km,265.6,West,
1033,Bethanga,267.3km,267.3,North-east,291800.00
1034,Haven,272km,272,West,594900.00
1035,McKenzie Creek,272.3km,272.3,West,
1036,Horsham,273.4km,273.4,West,265100.00
1037,Lake Tyers Beach,274.1km,274.1,East,326300.00
1038,Branxholme,278km,278,West,130000.00
1039,Balmoral,282.7km,282.7,West,127600.00
1040,Condah,283.1km,283.1,West,
1041,Warracknabeal,286.9km,286.9,North-west,147100.00
1042,Lake Boga,287.3km,287.3,North-west,259600.00
1043,Narrawong,288.8km,288.8,West,344200.00
1044,Coleraine,289.2km,289.2,West,133100.00
1045,Natimuk,293km,293,West,191900.00
1046,Heywood,294.6km,294.6,West,201700.00
1047,Dutton Way,297.3km,297.3,West,
1048,Brim,297.5km,297.5,North-west,
1049,Bolwarra,298.1km,298.1,West,525700.00
1050,Berriwillock,299.6km,299.6,North-west,81600.00
1051,Merino,300.7km,300.7,West,148300.00
1052,Dimboola,301.2km,301.2,West,151100.00
1053,Portland,301.7km,301.7,West,278700.00
1054,Swan Hill,302.5km,302.5,North-west,296700.00
1055,Portland West,303.6km,303.6,West,498300.00
1056,Harrow,306.4km,306.4,West,
1057,Lyons,307km,307,West,
1058,Orbost,307.5km,307.5,East,168500.00
1059,Beulah,307.9km,307.9,North-west,123000.00
1060,Cudgewa,308.2km,308.2,North-east,
1061,Woomelang,313.8km,313.8,North-west,68000.00
1062,Marlo,314.1km,314.1,East,341200.00
1063,Casterton,314.4km,314.4,West,140800.00
1064,Corryong,317.5km,317.5,North-east,218500.00
1065,Cape Bridgewater,318.1km,318.1,West,656600.00
1066,Sea Lake,318.9km,318.9,North-west,115400.00
1067,Jeparit,323.5km,323.5,North-west,69900.00
1068,Dartmoor,324.3km,324.3,West,119500.00
1069,Nyah West,326.6km,326.6,North-west,195100.00
1070,Hopetoun,328.1km,328.1,North-west,101600.00
1071,Edenhope,335.4km,335.4,West,202700.00
1072,Nhill,337.4km,337.4,West,166600.00
1073,Rainbow,339.4km,339.4,North-west,68900.00
1074,Chinkapook,343.3km,343.3,North-west,
1075,Nandaly,344.7km,344.7,North-west,
1076,Nelson,348.3km,348.3,West,312500.00
1077,Apsley,355.8km,355.8,West,88600.00
1078,Kaniva,367.3km,367.3,West,137500.00
1079,Cann River,370km,370,East,187500.00
1080,Ouyen,386.6km,386.6,North-west,129000.00
1081,Genoa,409.8km,409.8,East,
1082,Robinvale,409.9km,409.9,North-west,262500.00
1083,Gipsy Point,417.4km,417.4,East,
1084,Mallacoota,423.1km,423.1,East,398300.00
1085,Colignan,433.8km,433.8,North-west,182300.00
1086,Red Cliffs,463.5km,463.5,North-west,221400.00
1087,Cardross,467.3km,467.3,North-west,256400.00
1088,Irymple,471km,471,North-west,345200.00
1089,Koorlong,471.8km,471.8,North-west,223300.00
1090,Nichols Point,473km,473,North-west,492400.00
1091,Mildura,476.1km,476.1,North-west,296700.00
1092,Birdwoodton,481.2km,481.2,North-west,296500.00
1093,Merbein,482.7km,482.7,North-west,199800.00
